ID;search_name;name;synonyms;formula;num_carbons;mol_weight;inchi;inchi_key;cas_rn;mol_refs;Tfus;Tboil;Pc;Tc;ρc;ΔfH°gas;ΔfH°liquid;ΔfH°solid
C110383;Ethyl Caprate;Decanoic acid, ethyl ester;['Capric acid, ethyl ester', 'Ethyl caprate', 'Ethyl caprinate', 'Ethyl decanoate', 'Ethyl decylate', 'n-Capric acid ethyl ester', 'Ethyl ester of decanoic acid', 'Ethyl n-decanoate', 'NSC 8909'];C12H24O2;12;200.3178;InChI=1S/C12H24O2/c1-3-5-6-7-8-9-10-11-12(13)14-4-2/h3-11H2,1-2H3;RGXWDWUGBIJHDO-UHFFFAOYSA-N;110-38-3;{'mol2D': 'https://webbook.nist.gov/cgi/cbook.cgi?Str2File=C110383', 'mol3D': 'https://webbook.nist.gov/cgi/cbook.cgi?Str3File=C110383'};;516.98;;;;-612.0;-679.6;
C30673360;Butyl Caprate;Butyl caprate;['n-Capric acid n-butyl ester', 'Decanoic acid, butyl ester', 'Butyl decanoate', 'n-Butyl n-decanoate', 'n-Butyl decanoate'];C14H28O2;14;228.3709;InChI=1S/C14H28O2/c1-3-5-7-8-9-10-11-12-14(15)16-13-6-4-2/h3-13H2,1-2H3;ZRNCNTSXSYXHOW-UHFFFAOYSA-N;30673-36-0;{'mol2D': 'https://webbook.nist.gov/cgi/cbook.cgi?Str2File=C30673360'};;;;;;;;
C111820;Methyl Laurate;Dodecanoic acid, methyl ester;['Lauric acid, methyl ester', 'Metholene 2296', 'Methyl dodecanoate', 'Methyl dodecylate', 'Methyl laurate', 'Methyl laurinate', 'Methyl n-dodecanoate', 'Uniphat A40', 'NSC 5027'];C13H26O2;13;214.3443;InChI=1S/C13H26O2/c1-3-4-5-6-7-8-9-10-11-12-13(14)15-2/h3-12H2,1-2H3;UQDUPQYQJKYHQI-UHFFFAOYSA-N;111-82-0;{'mol2D': 'https://webbook.nist.gov/cgi/cbook.cgi?Str2File=C111820'};278.23;;;712.15;;;;
C1551402;Cyclohexyl Caprate;Decanoic acid, cyclohexyl ester;['Cyclohexyl caprate'];C16H30O2;16;254.4082;InChI=1S/C16H30O2/c1-2-3-4-5-6-7-11-14-16(17)18-15-12-9-8-10-13-15/h15H,2-14H2,1H3;FNQCJNQUVQXXJN-UHFFFAOYSA-N;1551-40-2;{'mol2D': 'https://webbook.nist.gov/cgi/cbook.cgi?Str2File=C1551402', 'mol3D': 'https://webbook.nist.gov/cgi/cbook.cgi?Str3File=C1551402'};;;;;;;;
C106332;Ethyl Laurate;Dodecanoic acid, ethyl ester;['Lauric acid, ethyl ester', 'Ethyl dodecanoate', 'Ethyl dodecylate', 'Ethyl laurate', 'Ethyl laurinate', 'Ethyl n-dodecanoate', 'Ethyl ester of dodecanoic acid', 'Ethyl n-dodecanote', 'Ethyl ester dodecanoic acid'];C14H28O2;14;228.3709;InChI=1S/C14H28O2/c1-3-5-6-7-8-9-10-11-12-13-14(15)16-4-2/h3-13H2,1-2H3;MMXKVMNBHPAILY-UHFFFAOYSA-N;106-33-2;{'mol2D': 'https://webbook.nist.gov/cgi/cbook.cgi?Str2File=C106332', 'mol3D': 'https://webbook.nist.gov/cgi/cbook.cgi?Str3File=C106332'};262.5;455.5;;;;;;
C10233133;Isopropyl Laurate;Dodecanoic acid, 1-methylethyl ester;['Isopropyl laurate', 'Dodecanoic acid methylethyl ester', 'Isopropyl dodecanoate'];C15H30O2;15;242.3975;InChI=1S/C15H30O2/c1-4-5-6-7-8-9-10-11-12-13-15(16)17-14(2)3/h14H,4-13H2,1-3H3;UJPPXNXOEVDSRW-UHFFFAOYSA-N;10233-13-3;{'mol2D': 'https://webbook.nist.gov/cgi/cbook.cgi?Str2File=C10233133'};;;;;;;;
C106183;Butyl Laurate;n-Butyl laurate;['Butyl laurate', 'Lauric acid butyl ester', 'Lauric acid n-butyl ester', 'Dodecanoic acid, butyl ester', 'Butyl dodecanoate', 'n-Butyl n-dodecanoate'];C16H32O2;16;256.4241;InChI=1S/C16H32O2/c1-3-5-7-8-9-10-11-12-13-14-16(17)18-15-6-4-2/h3-15H2,1-2H3;NDKYEUQMPZIGFN-UHFFFAOYSA-N;106-18-3;{'mol2D': 'https://webbook.nist.gov/cgi/cbook.cgi?Str2File=C106183', 'mol3D': 'https://webbook.nist.gov/cgi/cbook.cgi?Str3File=C106183'};266.31;;;;;;;
C6309519;Isopentyl Laurate;Isoamyl laurate;['Dodecanoic acid, 3-methylbutyl ester', 'Isopentyl laurate', 'Lauric acid, isopentyl ester', '3-Methylbutyl dodecanoate', 'iso-Amyl n-dodecanoate', 'Isoamyl dodecanoate'];C17H34O2;17;270.4507;InChI=1S/C17H34O2/c1-4-5-6-7-8-9-10-11-12-13-17(18)19-15-14-16(2)3/h16H,4-15H2,1-3H3;FVKRIDSRWFEQME-UHFFFAOYSA-N;6309-51-9;{'mol2D': 'https://webbook.nist.gov/cgi/cbook.cgi?Str2File=C6309519', 'mol3D': 'https://webbook.nist.gov/cgi/cbook.cgi?Str3File=C6309519'};;;;;;;;
C112629;Methyl Oleate;9-Octadecenoic acid (Z)-, methyl ester;['Oleic acid, methyl ester', 'Emery oleic acid ester 2301', 'Methyl cis-9-octadecenoate', 'Methyl oleate', '(Z)-9-Octadecenoic acid methyl ester', 'cis-9-Octyldecenoic acid, methyl ester', 'Emery, oleic acid ester', 'Methyl 9-octadecenoate, cis-', 'Oleic acid, methyl ester, cis-', 'Emerest 2801', 'Kemester 205', 'Methyl (Z)-9-octadecenoate', 'Emery 2301', 'Priolube 1400', 'Witconol 2301', '9-octadecenoic acid, methyl ester (Z)', 'cis-9-Octadecenoic acid, methyl ester', 'Methyl-cis-oleate', 'Methyl (Z)-9-oleate', '(Z)-9-Methyl octadecenoate', '9-Octadecenoic acid (9Z)-, methyl ester', 'ADJ 100', 'Edenor Me 90/95V', 'Edenor MeTiO5', 'Esterol 112', 'Exceparl M-OL', 'Nissan Unister M 182A', 'Phytorob 926-67', 'Priolube 1403', 'Unister M 182A', 'Methyl 9-octadecenoate', 'Methyl (9z)-9-octadecenoate', 'Emerest 2301 (Salt/Mix)', 'Kemester 213 (Salt/Mix)', 'Emery 2219 (Salt/Mix)'];C19H36O2;19;296.4879;InChI=1S/C19H36O2/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19(20)21-2/h10-11H,3-9,12-18H2,1-2H3/b11-10-;QYDYPVFESGNLHU-KHPPLWFESA-N;112-62-9;{'mol2D': 'https://webbook.nist.gov/cgi/cbook.cgi?Str2File=C112629'};;;;;;;-727.64;
C142778;Butyl Oleate;Oleic acid, butyl ester;['(Z)-9-Octadecenoic acid butyl ester', 'Butyl oleate', '9-Octadecenoic acid (Z)-, butyl ester', 'Advaplast 42', 'Hallco C-503 Plasticizer', 'Kessco 554', 'Kesscoflex BO', 'Wilmar Butyl Oleate', 'Witcizer 100', 'Witcizer 101', '9-Octadecenoic acid, butyl ester (Z)-', 'Plasthall 503', 'Uniflex byo', 'Butyl 9-octadecenoate, cis-', 'Emerest 2328', 'Kemester 4000', 'n-Butyl oleate', '9-Octadecenoic acid (9Z)-, butyl ester', 'Butyl cis-9-octadecenoate', 'Hallco C 503', 'Plasthall 914'];C22H42O2;22;338.5677;InChI=1S/C22H42O2/c1-3-5-7-8-9-10-11-12-13-14-15-16-17-18-19-20-22(23)24-21-6-4-2/h12-13H,3-11,14-21H2,1-2H3/b13-12-;WIBFFTLQMKKBLZ-SEYXRHQNSA-N;142-77-8;{'mol2D': 'https://webbook.nist.gov/cgi/cbook.cgi?Str2File=C142778', 'mol3D': 'https://webbook.nist.gov/cgi/cbook.cgi?Str3File=C142778'};;;;;;;;
